molecule,prec,MPI,OMP,Nuclear,Coulomb dens,Coulomb pot,XC dens,XC pot,XCFun,Total Fock
alkane_004,6,01,16,1.89276e+00,2.24654e+00,9.03593e+00,1.84117e+00,1.49903e-01,2.34797e+00,1.76903e+01
alkane_004,6,01,32,9.89724e-01,1.54787e+00,5.61028e+00,1.13042e+00,1.19294e-01,1.19799e+00,1.07467e+01
alkane_004,6,02,01,2.95384e+01,1.57486e+01,1.13536e+02,1.35118e+01,1.31698e+00,3.68424e+01,2.11319e+02
alkane_004,6,02,02,1.48342e+01,7.93879e+00,5.71538e+01,6.86908e+00,6.81187e-01,1.84766e+01,1.06425e+02
alkane_004,6,02,04,7.43886e+00,4.27469e+00,2.95375e+01,3.59183e+00,3.58563e-01,9.26199e+00,5.47567e+01
alkane_004,6,02,08,3.74556e+00,2.34450e+00,1.52426e+01,1.86229e+00,2.17768e-01,4.64224e+00,2.82651e+01
alkane_004,6,02,16,1.88064e+00,1.43818e+00,8.73980e+00,1.06856e+00,1.39561e-01,2.33480e+00,1.57714e+01
alkane_004,6,02,32,1.01673e+00,1.61196e+00,1.01682e+01,1.37041e+00,1.57714e-01,1.43944e+00,1.59579e+01
alkane_004,6,04,01,3.02933e+01,1.26084e+01,1.35629e+02,1.16288e+01,1.62370e+00,4.21423e+01,2.35093e+02
alkane_004,6,04,02,1.49842e+01,6.33410e+00,6.85365e+01,6.12168e+00,8.65816e-01,1.93351e+01,1.16896e+02
alkane_004,6,04,04,7.52257e+00,3.67610e+00,3.84550e+01,3.06754e+00,4.59832e-01,9.44098e+00,6.29942e+01
alkane_004,6,04,08,3.77451e+00,2.17565e+00,1.93653e+01,1.57601e+00,2.83683e-01,5.10019e+00,3.25821e+01
alkane_004,6,04,16,1.97379e+00,1.52077e+00,1.19890e+01,1.01706e+00,2.10339e-01,2.73758e+00,1.96997e+01
alkane_004,6,04,32,1.00867e+00,1.30085e+00,9.49237e+00,1.40394e+00,1.83822e-01,1.42795e+00,1.50314e+01
alkane_004,6,08,01,3.01414e+01,1.08142e+01,1.23987e+02,7.83036e+00,1.39376e+00,3.74893e+01,2.12639e+02
