molecule,prec,MPI,OMP,Localize,SCF energy,Helmholtz,Lowdin,KAIN,Fock operator,Fock matrix,Total SCF
ch4_060,5,032,16,5.24973e+02,2.44987e+01,134.02,6.27516e+01,1.07889e+01,1.76829e+01,2.95185e+01,8.90794e+02
ch4_060,5,032,32,5.79865e+02,5.54584e+00,136.612,6.56890e+01,9.63772e+00,2.19678e+01,3.01767e+01,9.29893e+02
ch4_060,5,048,16,4.30019e+02,2.43037e+00,102.376,5.23745e+01,3.46507e+00,1.25922e+01,2.54643e+01,7.00403e+02
ch4_060,5,048,32,4.19871e+02,2.93384e+00,92.2514,5.25409e+01,2.23445e+00,1.21659e+01,2.42553e+01,6.77961e+02
ch4_060,5,064,08,4.25979e+02,2.67893e+00,104.717,5.90164e+01,8.01685e+00,2.10743e+01,3.19531e+01,7.20830e+02
ch4_060,5,064,16,3.52005e+02,1.84227e+00,73.6787,4.72857e+01,9.33800e+00,1.52084e+01,2.36269e+01,5.72379e+02
ch4_060,5,064,32,3.67375e+02,7.39368e+00,71.6851,5.21290e+01,8.45398e+00,1.54221e+01,2.18864e+01,5.98473e+02
ch4_060,5,080,08,3.96565e+02,2.95695e+00,120.856,5.24316e+01,1.47162e+00,2.03623e+01,3.11732e+01,6.89630e+02
ch4_060,5,080,16,3.42341e+02,1.99826e+00,78.448,4.86123e+01,1.20649e+00,1.21943e+01,2.44610e+01,5.69179e+02
ch4_060,5,080,32,3.62500e+02,2.46105e+00,81.2769,5.15257e+01,1.60857e+00,1.27411e+01,2.53339e+01,5.97217e+02
ch4_060,5,096,08,3.82226e+02,1.33485e+01,89.2935,5.63437e+01,9.42525e+00,2.16829e+01,3.04522e+01,6.55596e+02
ch4_060,5,096,16,3.09741e+02,9.44088e+00,59.6246,4.57585e+01,1.66083e+01,1.29009e+01,2.22946e+01,5.20181e+02
ch4_060,5,096,32,3.41760e+02,6.02827e+00,63.881,4.96035e+01,3.10374e+00,1.24923e+01,2.01550e+01,5.48770e+02
ch4_060,5,112,08,3.58303e+02,1.74089e+00,90.8471,5.57766e+01,4.42954e+00,1.98929e+01,3.40321e+01,6.26805e+02
ch4_060,5,112,16,2.87396e+02,2.01916e+00,62.0497,4.80058e+01,2.39941e+00,9.43527e+00,2.41154e+01,4.90537e+02
ch4_060,5,112,32,3.15157e+02,1.34477e+00,63.68,5.06987e+01,1.86196e+00,1.02695e+01,2.12637e+01,5.21690e+02
ch4_060,5,128,08,3.31396e+02,1.98062e+01,63.864,6.48509e+01,1.28713e+00,1.74055e+01,3.15136e+01,5.80629e+02
ch4_060,5,128,16,2.57638e+02,2.13768e+01,44.0302,5.95679e+01,5.86003e-01,9.68097e+00,2.30177e+01,4.58163e+02
ch4_060,5,128,32,2.76081e+02,1.96187e+01,46.8972,5.49869e+01,1.92526e+00,1.03891e+01,1.97190e+01,4.74364e+02
ch4_070,5,032,16,7.51632e+02,3.52014e+01,176.849,9.30193e+01,7.28534e+00,1.65493e+01,3.49400e+01,1.24766e+03
ch4_070,5,032,32,7.60152e+02,1.39674e+01,190.129,9.15532e+01,1.06154e+01,2.52637e+01,3.74579e+01,1.24774e+03
ch4_070,5,048,16,5.94110e+02,1.56553e+01,125.824,7.35546e+01,5.27075e+00,1.51020e+01,3.03153e+01,9.49167e+02
ch4_070,5,048,32,5.94264e+02,1.13036e+01,116.691,7.80414e+01,3.02812e+00,1.36038e+01,2.94056e+01,9.41007e+02
ch4_070,5,064,08,5.98277e+02,3.12650e+00,143.733,9.82100e+01,1.30378e+01,3.14202e+01,4.23709e+01,1.01913e+03
ch4_070,5,064,16,5.57572e+02,2.05299e+00,97.8346,7.44818e+01,9.01438e+00,1.72385e+01,3.03550e+01,8.72171e+02
ch4_070,5,064,32,5.27567e+02,8.10234e+00,107.728,7.27981e+01,1.36399e+01,2.05291e+01,2.77027e+01,8.56413e+02
ch4_070,5,080,16,4.82383e+02,7.11311e+00,82.771,6.89817e+01,1.67535e+01,1.56809e+01,2.81779e+01,7.70034e+02
ch4_070,5,080,32,4.76769e+02,1.74035e+01,81.4848,7.21240e+01,9.74061e+00,1.50681e+01,2.56083e+01,7.69892e+02
ch4_070,5,096,08,4.98094e+02,2.33141e+00,107.741,7.69353e+01,2.07442e+00,1.72235e+01,3.72132e+01,8.15821e+02
ch4_070,5,096,16,4.19187e+02,2.01475e+00,70.407,6.63163e+01,1.54030e+00,1.07753e+01,2.84775e+01,6.59873e+02
ch4_070,5,096,32,4.58583e+02,1.90815e+00,74.9948,6.67064e+01,2.74280e+00,1.22693e+01,2.46632e+01,7.04894e+02
ch4_070,5,112,08,5.10148e+02,2.37283e+01,103.411,7.28727e+01,1.50284e+01,2.90648e+01,3.50363e+01,8.52925e+02
ch4_070,5,112,16,4.20583e+02,1.12725e+01,69.0656,6.21578e+01,2.09789e+01,1.63259e+01,2.65991e+01,6.79495e+02
ch4_070,5,112,32,4.51073e+02,7.56279e+00,77.7379,6.57272e+01,9.46955e+00,2.09985e+01,2.33918e+01,7.13283e+02
ch4_070,5,128,08,4.75571e+02,2.02168e+00,105.809,7.34560e+01,9.10933e+00,2.18309e+01,3.80398e+01,7.97818e+02
ch4_070,5,128,16,4.04963e+02,1.17002e+00,72.6477,6.53010e+01,4.49733e+00,1.55280e+01,2.79970e+01,6.55852e+02
ch4_070,5,128,32,4.24901e+02,1.65380e+00,75.5042,6.41301e+01,6.59822e+00,1.56814e+01,2.30335e+01,6.77089e+02
ch4_070,5,144,08,4.33466e+02,1.91470e+01,75.2191,8.17560e+01,1.25090e+00,1.29318e+01,3.64981e+01,7.23438e+02
ch4_070,5,144,16,3.40988e+02,2.69346e+01,52.3658,6.82646e+01,1.11735e+00,7.98765e+00,2.67660e+01,5.76488e+02
ch4_070,5,144,32,3.52660e+02,2.53816e+01,54.8514,6.24423e+01,1.73533e+00,9.07565e+00,2.22493e+01,5.83651e+02
ch4_090,5,064,32,9.68964e+02,3.07302e+00,153.785,1.07802e+02,1.05819e+01,2.24805e+01,3.44038e+01,1.42133e+03
ch4_090,5,080,32,8.37390e+02,2.55175e+01,125.824,1.00289e+02,1.91389e+01,2.85874e+01,3.22177e+01,1.26699e+03
ch4_090,5,096,32,7.32847e+02,1.66520e+01,106.244,9.28829e+01,5.53593e+00,2.12466e+01,2.95912e+01,1.09885e+03
ch4_090,5,112,16,7.47442e+02,1.57151e+01,118.864,9.02681e+01,1.47969e+00,2.30024e+01,3.46326e+01,1.13431e+03
ch4_090,5,112,32,7.67754e+02,1.56225e+01,129.484,9.79719e+01,5.16321e+00,1.86023e+01,3.19345e+01,1.17087e+03
ch4_090,5,128,16,7.52978e+02,1.50196e+00,95.8843,8.74020e+01,9.01607e+00,1.22090e+01,3.58712e+01,1.07553e+03
ch4_090,5,128,32,6.60169e+02,2.82692e+01,101.793,9.26552e+01,3.00283e+00,1.65354e+01,2.96240e+01,1.02190e+03
ch4_090,5,144,16,7.80242e+02,1.21043e+00,95.2276,8.79974e+01,2.33236e+01,2.08110e+01,3.41928e+01,1.11266e+03
ch4_090,5,144,32,6.88276e+02,3.68366e+01,108.061,9.06693e+01,1.63148e+00,2.51276e+01,3.41818e+01,1.07556e+03
ch4_090,5,160,08,7.40403e+02,3.15398e+01,143.863,1.00336e+02,5.01909e+00,2.53274e+01,5.08663e+01,1.20128e+03
ch4_090,5,160,16,6.01154e+02,7.67502e+01,102.237,7.97787e+01,1.18388e+01,2.20450e+01,3.47000e+01,1.01490e+03
ch4_090,5,160,32,6.62437e+02,1.52963e+01,99.8282,8.99406e+01,7.32338e+00,1.59606e+01,4.07309e+01,1.02507e+03
